X,Y,PHI,IR1,LDR1,IR2,LDR2,IR3,LDR3,IR4,LDR4,IR5,LDR5,IR6,LDR6,IR7,LDR7,IR8,LDR8
48.7,18.5,157.5,139.1,37,124.1,47.1,2,185.2,1.6,259.3,2.2,263.1,249.2,237.2,505.3,12,247.0714286,5
48.7,18.5,180,127.7,39.8,2.3,67.9,2,236.2,1.9,266.9,131.4,259.8,397.4,140.8,483.4,18.9,312.8285714,5.4
48.7,18.5,202.5,103.2,63.4,2.3,162.1,1.7,254.7,1.9,279,279.5,223.9,493,15,343.3,26.9,289.3571429,16.7
48.7,18.5,225,1.7,83.3,1.7,235.6,2,259.8,54.4,267.7,442.6,105.7,470.5,25.7,174.3,38.2,350.4142857,35
48.7,18.5,247.5,3.6,172.7,2.4,264.4,2.1,268.8,235.3,241.2,543.7,5.7,326.8,31.7,126.3,44.4,499.3857143,42.6
48.7,18.5,270,1.6,230.2,41.4,283.1,100.4,249.4,385.9,120.2,505.6,12.3,174,46.2,131.3,53.7,519.6,63.3
48.7,18.5,292.5,2.2,256.8,1.5,280.2,251.8,216.7,492.7,0.8,345.2,22.4,146.7,47.6,130.8,68.6,414.8857143,154.6
48.7,18.5,315,2.1,272.4,115.8,260.8,402,113.2,472.1,5.7,151.7,28.4,147,58,2.2,75.8,250.0142857,254.1
48.7,18.5,337.5,1.5,270.5,262.4,239.4,506.3,2,324.8,13.7,155.8,37.3,128.2,75.2,2.2,166.6,88.35714286,275.9
48.7,48.5,0,1.6,244.1,127.1,208.7,148.4,52.6,119.7,30.6,147.6,40.4,2.4,77.2,1.7,222,2.028571429,260.8
48.7,48.5,22.5,13.2,239.2,147.1,68.5,132.2,46.4,140.5,26.1,102.7,47,1.9,109,1.9,238.7,1.942857143,274.9
48.7,48.5,45,115,191.4,135.3,47.2,136.4,31.9,136,28.2,1.8,61.7,1.9,232,2.4,255.3,2.071428571,261.8
48.7,48.5,67.5,115.7,67.2,131.5,39.4,140.6,35.9,103.6,49.2,1.5,98.8,1.9,249.3,2.2,260.4,1.9,246.4
48.7,48.5,90,161,52.6,45.6,23.9,155.9,43.5,2.2,61.5,1.8,196.9,1.9,272.6,1.9,257.5,1.914285714,193
48.7,48.5,112.5,103.1,38.4,147.5,13,120.5,44.8,1.9,108.2,1.9,234.5,2,272.2,69.5,235.6,28.41428571,58.5
48.7,48.5,135,123.6,34.4,29.3,27.1,1.5,65.9,2,215.1,1.4,258.7,2.2,261.2,117.4,194.3,183.5857143,32.2
48.7,48.5,157.5,110.8,29.6,107.7,35,1.7,96.5,2,256,1.8,265.2,76.3,236.2,130.7,76.8,238.4714286,23.3
48.7,48.5,180,139.1,36.1,6.8,42.3,1.9,217.2,1.8,261.2,1.4,257.6,124.1,197.8,125.9,59.4,326,13.2
48.7,48.5,202.5,91,47.5,2.5,78.5,2.4,243,2,260.7,90.4,231.5,147.1,70.6,97.1,50.5,258.9428571,15
48.7,48.5,225,2,65,2.2,212,1.6,255.5,2.1,261.9,135.5,181.7,146.7,59.2,113.7,36.6,210.8,17.9
48.7,48.5,247.5,2.1,94.3,2.3,256.7,2,253,50,238.6,159.7,66.3,115.9,58.6,126,41.1,147.6285714,21.9
48.7,48.5,270,1.8,220.1,2.4,268.2,1.6,241.7,120.2,203.2,147.4,58.9,128.7,46.2,130.1,40.2,139.8,44.6
48.7,48.5,292.5,2.1,240.5,2.3,276.4,91.9,227.3,136.1,70.8,119.4,50.8,146.7,47.4,97.3,50.3,123.4,91
48.7,48.5,315,2.1,258.4,2,256.3,132.4,170.3,135.6,56.9,135.5,41.5,138.8,48.4,2,64.3,57.95714286,237
48.7,48.5,337.5,1.9,265,112,242.1,156.2,61,83.5,42.5,159.5,33.3,116.2,60.9,1.9,95.5,1.971428571,260
48.7,78.5,0,1.6,244.1,127.1,208.7,148.4,52.6,119.7,30.6,147.6,40.4,2.4,77.2,1.7,222,2.028571429,260.8
48.7,78.5,22.5,13.2,239.2,147.1,68.5,132.2,46.4,140.5,26.1,102.7,47,1.9,109,1.9,238.7,1.942857143,274.9
48.7,78.5,45,115,191.4,135.3,47.2,136.4,31.9,136,28.2,1.8,61.7,1.9,232,2.4,255.3,2.071428571,261.8
48.7,78.5,67.5,115.7,67.2,131.5,39.4,140.6,35.9,103.6,49.2,1.5,98.8,1.9,249.3,2.2,260.4,1.9,246.4
48.7,78.5,90,161,52.6,45.6,23.9,155.9,43.5,2.2,61.5,1.8,196.9,1.9,272.6,1.9,257.5,1.914285714,193
48.7,78.5,112.5,103.1,38.4,147.5,13,120.5,44.8,1.9,108.2,1.9,234.5,2,272.2,69.5,235.6,28.41428571,58.5
48.7,78.5,135,123.6,34.4,29.3,27.1,1.5,65.9,2,215.1,1.4,258.7,2.2,261.2,117.4,194.3,183.5857143,32.2
48.7,78.5,157.5,110.8,29.6,107.7,35,1.7,96.5,2,256,1.8,265.2,76.3,236.2,130.7,76.8,238.4714286,23.3
48.7,78.5,180,139.1,36.1,6.8,42.3,1.9,217.2,1.8,261.2,1.4,257.6,124.1,197.8,125.9,59.4,326,13.2
48.7,78.5,202.5,91,47.5,2.5,78.5,2.4,243,2,260.7,90.4,231.5,147.1,70.6,97.1,50.5,258.9428571,15
48.7,78.5,225,2,65,2.2,212,1.6,255.5,2.1,261.9,135.5,181.7,146.7,59.2,113.7,36.6,210.8,17.9
48.7,78.5,247.5,2.1,94.3,2.3,256.7,2,253,50,238.6,159.7,66.3,115.9,58.6,126,41.1,147.6285714,21.9
48.7,78.5,270,1.8,220.1,2.4,268.2,1.6,241.7,120.2,203.2,147.4,58.9,128.7,46.2,130.1,40.2,139.8,44.6
48.7,78.5,292.5,2.1,240.5,2.3,276.4,91.9,227.3,136.1,70.8,119.4,50.8,146.7,47.4,97.3,50.3,123.4,91
